"Timestamp","The Odyssey [The Odyssey]","The Odyssey [Dune 2]","The Odyssey [Minecraft Movie]","The Odyssey [Barbie]","The Odyssey [Backrooms]","The Odyssey [Five Nights at Freddy's 2]","",""
"2026/09/10 7:22:14 AM AST","5","","","","","","3","2"
"2026/09/10 7:26:19 AM AST","5 - Amazing","5 - Amazing","3 - Ok","5 - Amazing","did not see","1 - Bad","",""
"2026/09/10 8:43:32 AM AST","2","did not see","did not see","5 - Amazing","did not see","did not see","",""
"2026/09/10 8:53:03 AM AST","5 - Amazing","3 - Ok","2","5 - Amazing","3 - Ok","2","",""
"2026/09/10 9:08:15 AM AST","5 - Amazing","3 - Ok","2","4","4","3 - Ok","",""
"2026/09/10 10:21:28 AM AST","did not see","did not see","3 - Ok","3 - Ok","did not see","did not see","",""
"2026/09/10 10:51:44 AM AST","2","3 - Ok","3 - Ok","3 - Ok","2","2","",""
"2026/09/10 10:54:53 AM AST","3 - Ok","3 - Ok","4","3 - Ok","4","3 - Ok","",""
"2026/09/10 10:58:26 AM AST","","4","3 - Ok","4","4","4","",""
"2026/09/10 11:01:48 AM AST","did not see","did not see","3 - Ok","4","3 - Ok","1 - Bad","",""
"2026/09/10 11:53:36 AM AST","4","2","1 - Bad","2","2","1 - Bad","",""
