"Location Name","Location History ID","Y Coordinate","X Coordinate"
"Zone 05","0704CAN0286_3605","-77.262516","42.808285"
"Zone 15","0704CAN0286_3615","-77.282394","42.833445"
"Canandaigua Lake Zone 03","0704CAN0286_3603","-77.257369","42.850618"
"Canandaigua Lake Zone 04","0704CAN0286_3604","-77.25989","42.820669"
"Zone 16","0704CAN0286_3616","-77.28021","42.845972"
"Canandaigua Lake Zone 26","0704CAN0286_3626","-77.31838","42.77758"
"Canandaigua Lake Zone 27","0704CAN0286_3627","-77.31379","42.78454"
"Zone 17","0704CAN0286_3617","-77.279576","42.853641"
"Canandaigua Lake Zone 28","0704CAN0286_3628","-77.30079","42.79817"
"Zone 18","0704CAN0286_3618","-77.278984","42.858328"
"Canandaigua Lake Zone 19","0704CAN0286_3619","-77.25457","42.86841"
"Canandaigua Lake Zone 20","0704CAN0286_3620","-77.25617","42.8345"
"Zone 06","0704CAN0286_3606","-77.265122","42.802006"
"Canandaigua Lake Zone 30","0704CAN0286_3630","-77.2815","42.8739"
"Canandaigua Lake Zone 31","0704CAN0286_3631","-77.25336","42.86236"
"Canandaigua Lake Zone 32","0704CAN0286_3632","-77.2561","42.83737"
"Canandaigua Lake Zone 33","0704CAN0286_3633","-77.25837","42.82967"
"Canandaigua Lake Zone 02","0704CAN0286_3602","-77.255507","42.855861"
"Canandaigua Lake Zone 21","0704CAN0286_3621","-77.2638913","42.8026983"
"Canandaigua Lake Zone 22","0704CAN0286_3622","-77.32738","42.73381"
"Zone 14","0704CAN0286_3614","-77.335589","42.746085"
"Canandaigua Lake Zone 01","0704CAN0286_3601","-77.265802","42.874238"
"Canandaigua Lake Csl1 North","0704CAN0286_CSL1","-77.276333","42.821167"
"Zone 07","0704CAN0286_3607","-77.27844","42.789849"
"Zone 08","0704CAN0286_3608","-77.286047","42.782342"
"Zone 09","0704CAN0286_3609","-77.327699","42.723522"
"Zone 13","0704CAN0286_3613","-77.364405","42.686303"
"Canandaigua Lake Zone 24","0704CAN0286_3624","-77.36445","42.66783"
"Canandaigua Lake Zone 25","0704CAN0286_3625","-77.36206","42.70218"
"Canandaigua Lake Zone 34","0704CAN0286_3634","-77.25819","42.82908"
"Canandaigua Lake Zone 35","0704CAN0286_3635","-77.25948","42.82261"
"Canandaigua Lake Zone 36","0704CAN0286_3636","-77.26218","42.80877"
"Canandaigua Lake Zone 38","0704CAN0286_3638","-77.29124","42.77745"
"Canandaigua Lake Zone 39","0704CAN0286_3639","-77.29292","42.77668"
"Canandaigua Lake Zone 41","0704CAN0286_3641","-77.36342","42.67942"
"Canandaigua Lake Zone 42","0704CAN0286_3642","-77.36144","42.69982"
"Canandaigua Lake Zone 43","0704CAN0286_3643","-77.35595","42.72087"
"Canandaigua Lake Zone 44","0704CAN0286_3644","-77.35091","42.6672"
"Canandaigua Lake Zone 45","0704CAN0286_3645","-77.28129","42.83886"
"Canandaigua Lake Zone 46","0704CAN0286_3646","-77.28071","42.85099"
"Canandaigua Lake Zone 47","0704CAN0286_3647","-77.3562226","42.7193001"
"Canandaigua Lake Zone 48","0704CAN0286_3648","-77.25357","42.85794"
"Canandaigua Lake Zone 49","0704CAN0286_3649","-77.25843","42.84589"
"Canandaigua Lake Zone 37","0704CAN0286_3637","-77.27416","42.79282"
"Zone 11","0704CAN0286_3611","-77.347786","42.688857"
"Zone 12","0704CAN0286_3612","-77.351209","42.667906"
"Canandaigua Lake Zone 70","0704CAN0286_3670","-77.25812","42.87157"
"Canandaigua Lake Shoreline","0704CAN0286_3671","-77.27975817","42.788392"
"Canandaigua Lake Shoreline","0704CAN0286_3674","-77.3394","42.71111"
"Canandaigua Lake Shoreline","0704CAN0286_3675","-77.2592182434069","42.8475099999993"
"Canandaigua Lake Shoreline","0704CAN0286_3676","-77.31523","42.74502"
"Canandaigua Lake Shoreline","0704CAN0286_3678","-77.3358399999987","42.7492299999993"
