"Sample Date","Location History ID","Parameter","Water Layer (m)","Fraction","Results","Units"
"2019-08-07","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","8.3","meters"
"2019-08-22","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","4.7","meters"
"2017-06-25","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.8","ug/L"
"2017-06-25","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0","ug/L"
"2017-06-25","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.461","mg/L"
"2017-06-25","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0089","mg/L"
"2017-06-25","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","83","ug/L"
"2017-06-25","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.0025","mg/L"
"2017-06-25","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","12","celsius"
"2017-06-25","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","4","color units"
"2017-06-25","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0066","mg/L"
"2017-06-25","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.8","ug/L"
"2017-06-25","0704CAN0286_CSL1","CALCIUM","epilimnion","TOTAL","35.4","mg/L"
"2017-06-25","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","1","ug/L"
"2017-06-25","0704CAN0286_CSL1","PH","epilimnion","","7.67","pH units"
"2017-06-25","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","0.9","ug/L"
"2017-06-25","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","23","celsius"
"2017-06-25","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.441","mg/L"
"2017-06-25","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","4.15","meters"
"2017-06-25","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","355","uS/cm"
"2017-06-25","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","PH","epilimnion","","7.69","pH units"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","1.55","ug/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.5","ug/L"
"2017-07-09","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","19","celsius"
"2017-07-09","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0089","mg/L"
"2017-07-09","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","5","color units"
"2017-07-09","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0072","mg/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","1.33","ug/L"
"2017-07-09","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","0.1","ug/L"
"2017-07-09","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","280","uS/cm"
"2017-07-09","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","4.65","meters"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.142","ug/L"
"2017-07-09","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.556","mg/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","1.3","ug/L"
"2017-07-09","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","24","celsius"
"2017-07-09","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.025","mg/L"
"2017-07-09","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","3.06","RFU"
"2017-07-09","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-07-09","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.386","mg/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.035","ug/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.9","ug/L"
"2017-07-09","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","57","ug/L"
"2017-07-09","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.1","ug/L"
"2017-07-27","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0064","mg/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.106","ug/L"
"2017-07-27","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","17","celsius"
"2017-07-27","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","337","uS/cm"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0086","mg/L"
"2017-07-27","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.275","ug/L"
"2017-07-27","0704CAN0286_CSL1","PH","epilimnion","","7.03","pH units"
"2017-07-27","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","3","color units"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.506","mg/L"
"2017-07-27","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.6","ug/L"
"2017-07-27","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","90","ug/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_total","epilimnion","","1.3","ug/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.5","ug/L"
"2017-07-27","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","0.881","RFU"
"2017-07-27","0704CAN0286_CSL1","CHLORIDE","epilimnion","TOTAL","45.5","mg/L"
"2017-07-27","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.6","ug/L"
"2017-07-27","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","24","celsius"
"2017-07-27","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.027","mg/L"
"2017-07-27","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","2.1","ug/L"
"2017-07-27","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","3.95","meters"
"2017-07-27","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.508","mg/L"
"2017-08-08","0704CAN0286_CSL1","DEPTH, SECCHI DISK DEPTH","not applicable","","6.3","meters"
"2017-08-08","0704CAN0286_CSL1","SPECIFIC CONDUCTANCE","epilimnion","","356","uS/cm"
"2017-08-08","0704CAN0286_CSL1","microcystin","epilimnion","","0","ug/L"
"2017-08-08","0704CAN0286_CSL1","PH","epilimnion","","7.3","pH units"
"2017-08-08","0704CAN0286_CSL1","chlorophyll-a-concentration_dinophyta_diatoms","epilimnion","","0.906","ug/L"
"2017-08-08","0704CAN0286_CSL1","chlorophyll-a-concentration_cyanobacteria_bluegreen","epilimnion","","0.382","ug/L"
"2017-08-08","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.021","mg/L"
"2017-08-08","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.282","ug/L"
"2017-08-08","0704CAN0286_CSL1","TEMPERATURE","epilimnion","","24","celsius"
"2017-08-08","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","0.335","ug/L"
"2017-08-08","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","hypolimnion","TOTAL","0.0099","mg/L"
"2017-08-08","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","","1.9","RFU"
"2017-08-08","0704CAN0286_CSL1","TEMPERATURE","hypolimnion","","17","celsius"
"2017-08-08","0704CAN0286_CSL1","PHOSPHORUS, TOTAL","epilimnion","TOTAL","0.0086","mg/L"
"2017-08-08","0704CAN0286_CSL1","nitrate_nitrite","epilimnion","TOTAL","7","ug/L"
"2017-08-08","0704CAN0286_CSL1","bmaa_beta-methyl-amino-l-alanine","epilimnion","","0","ug/L"
"2017-08-08","0704CAN0286_CSL1","cylindrospermopsin","epilimnion","","0","ug/L"
"2017-08-08","0704CAN0286_CSL1","anatoxin_a","epilimnion","","0","ug/L"
"2017-08-08","0704CAN0286_CSL1","CHLOROPHYLL A","epilimnion","TOTAL","2.4","ug/L"
"2017-08-08","0704CAN0286_CSL1","TRUE COLOR","epilimnion","TOTAL","5","color units"
"2017-08-08","0704CAN0286_CSL1","NITROGEN, TOTAL","epilimnion","TOTAL","0.255","mg/L"
"2017-08-08","0704CAN0286_CSL1","NITROGEN, TOTAL","hypolimnion","TOTAL","0.39","mg/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.2","ug/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_chlorophyte_green-algae","epilimnion","","0.59","ug/L"
"2017-08-18","0704CAN0286_CSL1","NITROGEN, AMMONIA (AS N)","epilimnion","TOTAL","0.025","mg/L"
"2017-08-18","0704CAN0286_CSL1","chlorophyll-a-concentration_cryptophyta_cryptophytes","epilimnion","","1","ug/L"
