"Sample Date","Location History ID","Bloom Status"
"2023-09-01","0704CAN0286_3605","confirmed"
"2020-09-08","0704CAN0286_3615","confirmed"
"2023-09-17","0704CAN0286_3605","confirmed"
"2023-09-29","0704CAN0286_3603","confirmed"
"2023-09-21","0704CAN0286_3603","confirmed"
"2023-10-03","0704CAN0286_3604","confirmed"
"2022-10-06","0704CAN0286_3605","confirmed"
"2023-10-03","0704CAN0286_3603","confirmed"
"2024-08-26","0704CAN0286_3603","confirmed"
"2023-10-03","0704CAN0286_3605","confirmed"
"2024-08-30","0704CAN0286_3603","confirmed"
"2023-09-06","0704CAN0286_3605","confirmed"
"2019-09-03","0704CAN0286_3604","confirmed_with_high_toxins"
"2024-09-03","0704CAN0286_3603","confirmed"
"2020-09-25","0704CAN0286_3605","confirmed"
"2024-09-13","0704CAN0286_3603","confirmed"
"2023-09-20","0704CAN0286_3605","confirmed"
"2021-10-06","0704CAN0286_3604","confirmed"
"2020-09-21","0704CAN0286_3605","confirmed"
"2023-09-06","0704CAN0286_3603","confirmed"
"2024-07-23","0704CAN0286_3604","confirmed"
"2021-08-25","0704CAN0286_3605","confirmed"
"2024-09-20","0704CAN0286_3603","confirmed"
"2020-09-15","0704CAN0286_3605","confirmed"
"2018-08-19","0704CAN0286_3616","confirmed_with_high_toxins"
"2020-09-08","0704CAN0286_3605","confirmed"
"2024-09-18","0704CAN0286_3603","confirmed"
"2025-09-23","0704CAN0286_3603","confirmed"
"2020-10-09","0704CAN0286_3605","confirmed"
"2023-09-06","0704CAN0286_3626","confirmed"
"2021-10-14","0704CAN0286_3603","confirmed"
"2024-08-27","0704CAN0286_3626","confirmed"
"2024-08-30","0704CAN0286_3626","confirmed"
"2024-09-19","0704CAN0286_3626","confirmed"
"2024-09-26","0704CAN0286_3626","confirmed"
"2025-09-23","0704CAN0286_3626","confirmed"
"2019-09-03","0704CAN0286_3627","confirmed_with_high_toxins"
"2021-10-06","0704CAN0286_3603","confirmed"
"2025-10-02","0704CAN0286_3603","confirmed"
"2022-09-17","0704CAN0286_3605","confirmed"
"2022-09-30","0704CAN0286_3605","confirmed"
"2023-10-02","0704CAN0286_3616","confirmed"
"2024-09-04","0704CAN0286_3616","confirmed"
"2024-09-20","0704CAN0286_3616","confirmed"
"2018-09-04","0704CAN0286_3617","confirmed_with_high_toxins"
"2024-07-29","0704CAN0286_3615","confirmed"
"2019-09-03","0704CAN0286_3617","confirmed_with_high_toxins"
"2022-09-09","0704CAN0286_3605","confirmed"
"2021-10-05","0704CAN0286_3617","confirmed"
"2021-10-06","0704CAN0286_3617","confirmed"
"2023-09-06","0704CAN0286_3617","confirmed"
"2023-09-25","0704CAN0286_3617","confirmed"
"2020-08-12","0704CAN0286_3627","confirmed"
"2020-08-16","0704CAN0286_3627","confirmed"
"2020-09-08","0704CAN0286_3617","confirmed"
"2024-08-29","0704CAN0286_3627","confirmed"
"2024-09-04","0704CAN0286_3627","confirmed"
"2024-09-17","0704CAN0286_3627","confirmed"
"2024-09-27","0704CAN0286_3627","confirmed"
"2019-09-18","0704CAN0286_3628","confirmed_with_high_toxins"
"2021-10-06","0704CAN0286_3628","confirmed"
"2018-09-23","0704CAN0286_3618","confirmed_with_high_toxins"
"2020-08-12","0704CAN0286_3618","confirmed"
"2020-09-08","0704CAN0286_3618","confirmed"
"2020-09-22","0704CAN0286_3618","confirmed"
"2021-09-29","0704CAN0286_3618","confirmed"
"2021-10-04","0704CAN0286_3618","confirmed"
"2023-09-07","0704CAN0286_3603","confirmed"
"2022-09-17","0704CAN0286_3618","confirmed"
"2023-09-06","0704CAN0286_3618","confirmed"
"2023-09-25","0704CAN0286_3618","confirmed"
"2023-09-26","0704CAN0286_3618","confirmed"
"2023-10-02","0704CAN0286_3618","confirmed"
"2019-09-03","0704CAN0286_3619","confirmed_with_high_toxins"
"2023-10-02","0704CAN0286_3620","confirmed"
"2024-07-30","0704CAN0286_3620","confirmed"
"2024-08-26","0704CAN0286_3620","confirmed"
"2024-09-03","0704CAN0286_3620","confirmed"
"2024-07-30","0704CAN0286_3604","confirmed"
"2024-08-27","0704CAN0286_3604","confirmed"
"2024-09-12","0704CAN0286_3604","confirmed"
"2025-10-04","0704CAN0286_3604","confirmed"
"2020-09-08","0704CAN0286_3627","confirmed"
"2024-08-25","0704CAN0286_3627","confirmed"
"2018-09-23","0704CAN0286_3605","confirmed_with_high_toxins"
"2019-09-10","0704CAN0286_3605","confirmed_with_high_toxins"
"2019-10-28","0704CAN0286_3605","confirmed_with_high_toxins"
"2020-07-23","0704CAN0286_3605","confirmed"
"2024-08-24","0704CAN0286_3604","confirmed"
"2020-08-03","0704CAN0286_3605","confirmed"
"2020-08-23","0704CAN0286_3605","confirmed"
"2020-09-06","0704CAN0286_3605","confirmed"
"2023-09-06","0704CAN0286_3606","confirmed"
"2023-09-21","0704CAN0286_3606","confirmed"
"2023-10-02","0704CAN0286_3606","confirmed"
"2023-10-04","0704CAN0286_3606","confirmed"
"2023-10-24","0704CAN0286_3606","confirmed"
"2024-08-25","0704CAN0286_3604","confirmed"
"2024-07-23","0704CAN0286_3606","confirmed"
"2024-07-27","0704CAN0286_3606","confirmed"
"2024-07-29","0704CAN0286_3606","confirmed"
"2024-07-30","0704CAN0286_3606","confirmed"
"2024-08-15","0704CAN0286_3606","confirmed"
"2024-08-25","0704CAN0286_3606","confirmed"
"2024-09-20","0704CAN0286_3606","confirmed"
"2024-09-23","0704CAN0286_3606","confirmed"
"2024-09-26","0704CAN0286_3606","confirmed"
"2024-10-03","0704CAN0286_3606","confirmed"
"2024-10-18","0704CAN0286_3606","confirmed"
"2024-10-19","0704CAN0286_3606","confirmed"
"2024-10-21","0704CAN0286_3606","confirmed"
"2024-10-22","0704CAN0286_3606","confirmed"
"2024-10-25","0704CAN0286_3606","confirmed"
"2024-10-27","0704CAN0286_3606","confirmed"
"2024-10-28","0704CAN0286_3606","confirmed"
"2024-11-02","0704CAN0286_3606","confirmed"
